date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:29:05	312402/312402	---M--	200	added ('OK')	image/webp	date:Fri,%2018%20Feb%202022%2009:28:00%20GMT	https://sahil.hadke.in/images/evergreen.webp	E:/portfolio/sahil.hadke.in/images/evergreen.webp	(from https://sahil.hadke.in/)
23:29:05	123508/123508	---M--	200	added ('OK')	image/webp	date:Fri,%2018%20Feb%202022%2009:27:56%20GMT	https://sahil.hadke.in/images/cafe-brosco.webp	E:/portfolio/sahil.hadke.in/images/cafe-brosco.webp	(from https://sahil.hadke.in/)
23:29:05	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:%22603e8adc-15d9d%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	E:/portfolio/cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://sahil.hadke.in/)
23:29:06	21005/21005	---M--	200	added ('OK')	application/javascript	date:Thu,%2017%20Feb%202022%2009:11:42%20GMT	https://sahil.hadke.in/plugins/bootstrap/js/popper.js	E:/portfolio/sahil.hadke.in/plugins/bootstrap/js/popper.js	(from https://sahil.hadke.in/)
23:29:06	58072/58072	---M--	200	added ('OK')	application/javascript	date:Thu,%2017%20Feb%202022%2009:11:42%20GMT	https://sahil.hadke.in/plugins/bootstrap/js/bootstrap.min.js	E:/portfolio/sahil.hadke.in/plugins/bootstrap/js/bootstrap.min.js	(from https://sahil.hadke.in/)
23:29:07	79/79	---M--	200	added ('OK')	application/javascript	date:Thu,%2017%20Feb%202022%2009:11:42%20GMT	https://sahil.hadke.in/plugins/nav/jquery.easing.1.3.js	E:/portfolio/sahil.hadke.in/plugins/nav/jquery.easing.1.3.js	(from https://sahil.hadke.in/)
23:29:07	44450/44450	---M--	200	added ('OK')	application/javascript	date:Thu,%2017%20Feb%202022%2009:11:42%20GMT	https://sahil.hadke.in/plugins/slick-carousel/slick/slick.min.js	E:/portfolio/sahil.hadke.in/plugins/slick-carousel/slick/slick.min.js	(from https://sahil.hadke.in/)
23:29:08	42854/42854	---M--	200	added ('OK')	application/javascript	date:Thu,%2017%20Feb%202022%2009:11:42%20GMT	https://sahil.hadke.in/plugins/owl/owl.carousel.min.js	E:/portfolio/sahil.hadke.in/plugins/owl/owl.carousel.min.js	(from https://sahil.hadke.in/)
23:29:08	1478/1478	---M--	200	added ('OK')	application/javascript	date:Thu,%2017%20Feb%202022%2009:11:42%20GMT	https://sahil.hadke.in/plugins/counto/apear.js	E:/portfolio/sahil.hadke.in/plugins/counto/apear.js	(from https://sahil.hadke.in/)
23:29:08	3466/3466	---M--	200	added ('OK')	application/javascript	date:Thu,%2017%20Feb%202022%2009:11:42%20GMT	https://sahil.hadke.in/plugins/counto/counTo.js	E:/portfolio/sahil.hadke.in/plugins/counto/counTo.js	(from https://sahil.hadke.in/)
23:29:09	14243/14243	---M--	200	added ('OK')	application/javascript	date:Thu,%2017%20Feb%202022%2009:11:42%20GMT	https://sahil.hadke.in/plugins/aos/aos.js	E:/portfolio/sahil.hadke.in/plugins/aos/aos.js	(from https://sahil.hadke.in/)
23:29:09	2316/2316	---M--	200	added ('OK')	application/javascript	date:Thu,%2017%20Feb%202022%2009:11:42%20GMT	https://sahil.hadke.in/js/script.js	E:/portfolio/sahil.hadke.in/js/script.js	(from https://sahil.hadke.in/)
23:29:10	65/65	---M--	200	added ('OK')	application/javascript	date:Thu,%2017%20Feb%202022%2009:11:42%20GMT	https://sahil.hadke.in/js/ajax-contact.js	E:/portfolio/sahil.hadke.in/js/ajax-contact.js	(from https://sahil.hadke.in/)
23:29:10	583/583	---M-Z	-1	error ('Read%20error%20when%20decompressing')	text/html	date:Tue,%2015%20Mar%202022%2021:42:09%20GMT	https://sahil.hadke.in/plugins/themify/fonts/themify.eot	E:/portfolio/sahil.hadke.in/plugins/themify/fonts/themify.eot	(from https://sahil.hadke.in/plugins/themify/css/themify-icons.css)
23:29:11	583/583	---M-Z	-1	error ('Read%20error%20when%20decompressing')	text/html	date:Tue,%2015%20Mar%202022%2021:42:09%20GMT	https://sahil.hadke.in/plugins/themify/fonts/themify.eot?	E:/portfolio/sahil.hadke.in/plugins/themify/fonts/themifyd41d.eot	(from https://sahil.hadke.in/plugins/themify/css/themify-icons.css)
23:29:11	81/81	---M--	200	added ('OK')	font/woff	date:Thu,%2017%20Feb%202022%2009:11:42%20GMT	https://sahil.hadke.in/plugins/themify/fonts/themify.woff	E:/portfolio/sahil.hadke.in/plugins/themify/fonts/themify.woff	(from https://sahil.hadke.in/plugins/themify/css/themify-icons.css)
23:29:12	583/583	---M-Z	-1	error ('Read%20error%20when%20decompressing')	text/html	date:Tue,%2015%20Mar%202022%2021:42:09%20GMT	https://sahil.hadke.in/plugins/themify/fonts/themify.ttf	E:/portfolio/sahil.hadke.in/plugins/themify/fonts/themify.ttf	(from https://sahil.hadke.in/plugins/themify/css/themify-icons.css)
23:29:12	583/583	---M-Z	-1	error ('Read%20error%20when%20decompressing')	text/html	date:Tue,%2015%20Mar%202022%2021:42:09%20GMT	https://sahil.hadke.in/plugins/themify/fonts/themify.svg	E:/portfolio/sahil.hadke.in/plugins/themify/fonts/themify.svg	(from https://sahil.hadke.in/plugins/themify/css/themify-icons.css)
23:29:13	583/583	---M-Z	-1	error ('Read%20error%20when%20decompressing')	text/html	date:Tue,%2015%20Mar%202022%2021:42:09%20GMT	https://sahil.hadke.in/plugins/owl/assets/owl.video.play.png	E:/portfolio/sahil.hadke.in/plugins/owl/assets/owl.video.play.png	(from https://sahil.hadke.in/plugins/owl/assets/owl.carousel.min.css)
23:29:14	4178/4178	---M--	200	added ('OK')	image/gif	date:Thu,%2017%20Feb%202022%2009:11:42%20GMT	https://sahil.hadke.in/plugins/slick-carousel/slick/ajax-loader.gif	E:/portfolio/sahil.hadke.in/plugins/slick-carousel/slick/ajax-loader.gif	(from https://sahil.hadke.in/plugins/slick-carousel/slick/slick-theme.css)
23:29:14	583/583	---M-Z	-1	error ('Read%20error%20when%20decompressing')	text/html	date:Tue,%2015%20Mar%202022%2021:42:09%20GMT	https://sahil.hadke.in/plugins/slick-carousel/slick/fonts/slick.eot	E:/portfolio/sahil.hadke.in/plugins/slick-carousel/slick/fonts/slick.eot	(from https://sahil.hadke.in/plugins/slick-carousel/slick/slick-theme.css)
23:29:15	583/583	---M-Z	-1	error ('Read%20error%20when%20decompressing')	text/html	date:Tue,%2015%20Mar%202022%2021:42:09%20GMT	https://sahil.hadke.in/plugins/slick-carousel/slick/fonts/slick.eot?	E:/portfolio/sahil.hadke.in/plugins/slick-carousel/slick/fonts/slickd41d.eot	(from https://sahil.hadke.in/plugins/slick-carousel/slick/slick-theme.css)
23:29:15	92/92	---M--	200	added ('OK')	font/woff	date:Thu,%2017%20Feb%202022%2009:11:42%20GMT	https://sahil.hadke.in/plugins/slick-carousel/slick/fonts/slick.woff	E:/portfolio/sahil.hadke.in/plugins/slick-carousel/slick/fonts/slick.woff	(from https://sahil.hadke.in/plugins/slick-carousel/slick/slick-theme.css)
23:29:15	583/583	---M-Z	-1	error ('Read%20error%20when%20decompressing')	text/html	date:Tue,%2015%20Mar%202022%2021:42:09%20GMT	https://sahil.hadke.in/plugins/slick-carousel/slick/fonts/slick.ttf	E:/portfolio/sahil.hadke.in/plugins/slick-carousel/slick/fonts/slick.ttf	(from https://sahil.hadke.in/plugins/slick-carousel/slick/slick-theme.css)
23:29:16	583/583	---M-Z	-1	error ('Read%20error%20when%20decompressing')	text/html	date:Tue,%2015%20Mar%202022%2021:42:09%20GMT	https://sahil.hadke.in/plugins/slick-carousel/slick/fonts/slick.svg	E:/portfolio/sahil.hadke.in/plugins/slick-carousel/slick/fonts/slick.svg	(from https://sahil.hadke.in/plugins/slick-carousel/slick/slick-theme.css)
23:29:16	583/583	---M-Z	-1	error ('Read%20error%20when%20decompressing')	text/html	date:Tue,%2015%20Mar%202022%2021:42:09%20GMT	https://sahil.hadke.in/images/call-to-action-bg.jpg	E:/portfolio/sahil.hadke.in/images/call-to-action-bg.jpg	(from https://sahil.hadke.in/css/style.css)
23:29:17	583/583	---M-Z	-1	error ('Read%20error%20when%20decompressing')	text/html	date:Tue,%2015%20Mar%202022%2021:42:09%20GMT	https://sahil.hadke.in/images/bg/b-3.jpg	E:/portfolio/sahil.hadke.in/images/bg/b-3.jpg	(from https://sahil.hadke.in/css/style.css)
